season,feature_set,model_label,target_horizon_index,target_date,fold_id,importance_method,feature,input_week,base_feature,feature_group,weather_driver,normalized_importance
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_white_fruit_count,w3,white_fruit_count,Phenology counts,Other weather,0.04740988185722503
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_pink_fruit_count,w3,pink_fruit_count,Phenology counts,Other weather,0.009117192912491485
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_canopy_area,w3,canopy_area,Canopy structure,Other weather,0.026156397056709288
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_canopy_volume,w3,canopy_volume,Canopy structure,Other weather,0.025946172815589138
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_total_unripe_visible_count,w3,total_unripe_visible_count,Phenology counts,Other weather,0.03034574508559142
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_phenology_weighted_index,w3,phenology_weighted_index,Phenology counts,Other weather,0.038176877557015834
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_phenology_weighted_index_per_area,w3,phenology_weighted_index_per_area,Phenology counts,Other weather,0.029069273161284253
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_total_unripe_visible_count_per_area,w3,total_unripe_visible_count_per_area,Phenology counts,Other weather,0.017878207282920673
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_tmean_2m_c_7d_mean,w3,tmean_2m_c_7d_mean,Other,Other weather,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_soil_temp_mean_c_7d_mean,w3,soil_temp_mean_c_7d_mean,Weather / GDD,Temperature,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_rh_mean_pct_7d_mean,w3,rh_mean_pct_7d_mean,Weather / GDD,Humidity / dew point,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_rainfall_in_7d_sum,w3,rainfall_in_7d_sum,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_solar_radiation_mean_wm2_7d_mean,w3,solar_radiation_mean_wm2_7d_mean,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_gdd_base_10_c_7d_sum,w3,gdd_base_10_c_7d_sum,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_cumulative_gdd_base_10_c,w3,cumulative_gdd_base_10_c,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_cumulative_rainfall_in,w3,cumulative_rainfall_in,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_cumulative_solar_radiation_sum_wm2_records,w3,cumulative_solar_radiation_sum_wm2_records,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_flower_count,w4,flower_count,Phenology counts,Other weather,0.038284377031005484
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_green_fruit_count,w4,green_fruit_count,Phenology counts,Other weather,0.037781156809785325
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_white_fruit_count,w4,white_fruit_count,Phenology counts,Other weather,0.01797755244587669
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_pink_fruit_count,w4,pink_fruit_count,Phenology counts,Other weather,0.01326855656149652
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_canopy_area,w4,canopy_area,Canopy structure,Other weather,1.290217858540226e-06
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_canopy_volume,w4,canopy_volume,Canopy structure,Other weather,0.0021860054996952994
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w4_total_unripe_visible_count,w4,total_unripe_visible_count,Phenology counts,Other weather,0.01306806816116416
