task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_predictions_to_date,cumulative_mae_to_date,cumulative_bias_to_date_g
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-26,8,late season,318,55.69546045333827,45.21765907515143
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-07,1,early season,40,121.87706259834754,121.87706259834754
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-15,2,early season,80,91.52065219712668,91.47906258064498
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-24,3,mid season,119,63.516276041529316,61.077349977059775
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-29,4,mid season,158,62.42255907070821,60.58564640189887
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-05,5,mid season,198,78.07990048472524,76.61408128436224
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-12,6,late season,238,69.9553817457889,64.798933516662
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-20,7,late season,278,67.6275009235479,62.82735661491445
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-26,8,late season,318,63.177591661929625,55.37227788777783
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-07,1,early season,40,51.025136275707055,51.025136275707055
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-15,2,early season,80,41.91965908445731,40.717173023286705
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-24,3,mid season,119,32.70885898723745,31.7383236598782
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-29,4,mid season,158,29.427525254154567,26.827279424719283
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-05,5,mid season,198,44.88752467657657,42.81258103490599
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-12,6,late season,238,41.69978555632872,36.222024104976974
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-20,7,late season,278,43.92551728605156,39.20916542829619
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-26,8,late season,318,42.085442774207195,35.21676235459563
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-07,1,early season,40,22.275,19.825
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-15,2,early season,80,16.4625,13.8625
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,119,12.067226890756302,9.546218487394958
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,158,11.930379746835444,4.525316455696203
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,198,13.393939393939394,1.3232323232323233
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-12,6,late season,238,17.596638655462186,-4.428571428571429
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-20,7,late season,278,20.5,0.37050359712230213
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-26,8,late season,318,22.10691823899371,-2.9056603773584904
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-07,1,early season,40,170.57112036620396,170.57112036620396
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-15,2,early season,80,112.6679179339947,112.6679179339947
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-24,3,mid season,119,77.86411739630074,73.92104524274897
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-29,4,mid season,158,69.02339383391008,65.82584642564419
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-05,5,mid season,198,83.55406544856768,81.00248721368885
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-12,6,late season,238,73.71421320652493,66.61483085106606
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-20,7,late season,278,72.04040477052386,65.75253727590997
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-26,8,late season,318,66.7046368309573,55.26586867456279
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-07,1,early season,40,299.0765441595619,299.0765441595619
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-15,2,early season,80,196.69733230495882,103.24942603339446
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-24,3,mid season,119,146.9488339566021,56.82541063342997
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-29,4,mid season,158,127.7252394799215,59.58633726410176
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-05,5,mid season,198,107.81711799269169,46.7996194668929
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-12,6,late season,238,95.83113419519046,35.7443671864983
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-20,7,late season,278,87.65599066884856,35.08654093796438
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-26,8,late season,318,89.19269303365651,43.235752702883545
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,40,293.625,293.625
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,80,278.88125,278.88125
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,119,263.1302521008403,263.1302521008403
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,158,237.66455696202533,237.66455696202533
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,198,207.8989898989899,207.77777777777777
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,238,181.1764705882353,178.3361344537815
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,278,162.20143884892087,159.53956834532374
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,318,146.52358490566039,140.49528301886792
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-07,1,early season,40,279.9338290283585,279.9338290283585
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-15,2,early season,80,185.7847333802634,94.83876051440932
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-24,3,mid season,119,133.3320388533213,58.93763627632201
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-01-29,4,mid season,158,116.44411270857233,60.27776511189493
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-05,5,mid season,198,98.3085381124327,44.87131896788258
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-12,6,late season,238,87.64740384007078,34.31778601609562
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-20,7,late season,278,81.1831944035647,34.846188948393944
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-26,8,late season,318,80.46937402992621,39.898302385770464
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-07,1,early season,40,151.2953105893842,151.2953105893842
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-15,2,early season,80,103.36776148279827,103.36776148279827
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-24,3,mid season,119,101.35899260371984,101.35899260371984
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-01-29,4,mid season,158,83.64324384015646,82.58917976030935
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-05,5,mid season,198,78.68114837919741,77.76980312411422
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-12,6,late season,238,70.45000395595855,64.89557376033812
