season,feature_set,target_horizon_index,target_date,model_label,validation_protocol,n_predictions,n_plots,n_model_features,mae,rmse,r2,correlation,bias_predicted_minus_observed_g,mae_improvement_pct_vs_last_observed_baseline,n_target_horizons
2425,paper_informed_nonreactive,1,2025-02-12,Cultivar horizon mean baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,20.859159663865547,26.41383619057322,-0.06745829605635811,-0.22954307499954307,-0.4748074229691873,-8.78310124571341,
2425,paper_informed_nonreactive,1,2025-02-12,Last observed week-5 yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,19.175,29.778767603781052,-0.3567548959608322,0.28039955600247657,-11.325,0.0,
2425,paper_informed_nonreactive,1,2025-02-12,Observed 5-week mean yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,20.32875,28.808454705172927,-0.2697782473990209,0.09095836703017525,-12.051250000000001,-6.016949152542366,
2425,paper_informed_nonreactive,1,2025-02-12,Zero yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,23.5,34.7253509701486,-0.8449357405140758,,-23.5,-22.555410691003907,
2425,paper_informed_nonreactive,1,2025-02-12,Ridge,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,15.370339836719321,20.49932996562666,0.35706467405195974,0.6522753488434346,-2.0770914589566116,19.841773993641095,
2425,paper_informed_nonreactive,1,2025-02-12,ElasticNet,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,15.576245495645315,20.549710101658103,0.35390057334426384,0.6886375326826307,-2.08591271510675,18.767950479033562,
2425,paper_informed_nonreactive,1,2025-02-12,Random Forest,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,18.19041766659267,23.127730593486653,0.18162190574525938,0.4277154147439739,-0.9255564708439701,5.1347188182911685,
2425,paper_informed_nonreactive,1,2025-02-12,Extra Trees,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,18.79223432776589,23.757273046831386,0.13646263368772782,0.3770987743643334,-0.5523689731829637,1.9961703897476455,
2425,paper_informed_nonreactive,1,2025-02-12,Gradient Boosting,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,18.078825449164576,24.400229760767314,0.08908933234664174,0.3739686949512388,-3.1685355536417936,5.71668605390052,
2425,paper_informed_nonreactive,1,2025-02-12,HistGradientBoosting,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,20.478125,26.108786835086768,-0.042944843941248534,-0.27630850372163024,0.0,-6.795958279009115,
