season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,Extra Trees,3,2024-01-08,2024-02-06,1,2024-02-13,8,3088.0,3284.9279649979644,3173.0,1639.0,196.9279649979644,196.9279649979644,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,3,2024-01-08,2024-02-06,2,2024-02-20,8,1914.0,2286.3934415399417,3173.0,1639.0,372.3934415399417,372.3934415399417,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,3,2024-01-08,2024-02-06,3,2024-02-27,8,2452.0,3214.9439760624373,3173.0,1639.0,762.9439760624373,762.9439760624373,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3561.3148730158737,3554.0,1863.2,-611.6851269841263,611.6851269841263,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2527.7191185296188,3554.0,1863.2,119.71911852961875,119.71911852961875,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,3121.709211399712,3554.0,1863.2,-388.2907886002881,388.2907886002881,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,2807.5329708994705,3069.0,1540.6,-101.46702910052954,101.46702910052954,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2010.7204002571502,3069.0,1540.6,-28.27959974284977,28.27959974284977,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,2571.229495818996,3069.0,1540.6,-271.77050418100407,271.77050418100407,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Gradient Boosting,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,3807.6406678085004,2747.0,1405.6,273.64066780850044,273.64066780850044,held_out_cv_fold_aggregate_primary
