season,plot_id,target_horizon_index,target_date,target_yield_g
2324,M12,3,2024-02-27,617.0
2324,M13,1,2024-02-13,736.0
2324,M13,2,2024-02-20,341.0
2324,M13,3,2024-02-27,305.0
2324,M14,1,2024-02-13,581.0
2324,M14,2,2024-02-20,421.0
2324,M14,3,2024-02-27,566.0
2324,M15,1,2024-02-13,634.0
2324,M15,2,2024-02-20,445.0
2324,M15,3,2024-02-27,502.0
2324,M21,1,2024-02-13,431.0
2324,M21,2,2024-02-20,77.0
2324,M21,3,2024-02-27,242.0
2324,M22,1,2024-02-13,626.0
2324,M22,2,2024-02-20,517.0
2324,M22,3,2024-02-27,272.0
2324,M23,1,2024-02-13,140.0
2324,M23,2,2024-02-20,106.0
2324,M23,3,2024-02-27,151.0
2324,M24,1,2024-02-13,116.0
2324,M24,2,2024-02-20,192.0
2324,M24,3,2024-02-27,157.0
2324,M25,1,2024-02-13,361.0
2324,M25,2,2024-02-20,194.0
2324,M25,3,2024-02-27,114.0
2324,M41,1,2024-02-13,269.0
2324,M41,2,2024-02-20,232.0
2324,M41,3,2024-02-27,283.0
2324,M42,1,2024-02-13,470.0
2324,M42,2,2024-02-20,451.0
2324,M42,3,2024-02-27,461.0
2324,M43,1,2024-02-13,635.0
2324,M43,2,2024-02-20,394.0
2324,M43,3,2024-02-27,390.0
2324,M44,1,2024-02-13,520.0
2324,M44,2,2024-02-20,297.0
2324,M44,3,2024-02-27,236.0
2324,M45,1,2024-02-13,229.0
2324,M45,2,2024-02-20,417.0
2324,M45,3,2024-02-27,530.0
2324,M51,1,2024-02-13,750.0
2324,M51,2,2024-02-20,278.0
2324,M51,3,2024-02-27,568.0
2324,M52,1,2024-02-13,734.0
2324,M52,2,2024-02-20,305.0
2324,M52,3,2024-02-27,474.0
2324,M53,1,2024-02-13,594.0
2324,M53,2,2024-02-20,340.0
2324,M53,3,2024-02-27,426.0
2324,M54,1,2024-02-13,325.0
2324,M54,2,2024-02-20,156.0
2324,M54,3,2024-02-27,299.0
2324,M55,1,2024-02-13,622.0
2324,M55,2,2024-02-20,303.0
2324,M55,3,2024-02-27,339.0
2425,B11,1,2025-02-12,2.0
2425,B11,2,2025-02-20,0.0
2425,B11,3,2025-02-26,8.0
2425,B11,4,2025-03-05,19.0
2425,B12,1,2025-02-12,19.0
2425,B12,2,2025-02-20,45.0
2425,B12,3,2025-02-26,72.0
2425,B12,4,2025-03-05,50.0
2425,B13,1,2025-02-12,10.0
2425,B13,2,2025-02-20,7.0
2425,B13,3,2025-02-26,0.0
2425,B13,4,2025-03-05,55.0
2425,B14,1,2025-02-12,19.0
2425,B14,2,2025-02-20,15.0
2425,B14,3,2025-02-26,14.0
2425,B14,4,2025-03-05,36.0
2425,B15,1,2025-02-12,65.0
2425,B15,2,2025-02-20,37.0
2425,B15,3,2025-02-26,17.0
2425,B15,4,2025-03-05,121.0
2425,B21,1,2025-02-12,26.0
2425,B21,2,2025-02-20,0.0
2425,B21,3,2025-02-26,21.0
2425,B21,4,2025-03-05,68.0
2425,B22,1,2025-02-12,33.0
2425,B22,2,2025-02-20,7.0
2425,B22,3,2025-02-26,34.0
2425,B22,4,2025-03-05,136.0
2425,B23,1,2025-02-12,30.0
2425,B23,2,2025-02-20,183.0
2425,B23,3,2025-02-26,25.0
2425,B23,4,2025-03-05,55.0
2425,B24,1,2025-02-12,45.0
2425,B24,2,2025-02-20,36.0
2425,B24,3,2025-02-26,40.0
2425,B24,4,2025-03-05,48.0
2425,B25,1,2025-02-12,0.0
2425,B25,2,2025-02-20,48.0
2425,B25,3,2025-02-26,0.0
2425,B25,4,2025-03-05,51.0
2425,B41,1,2025-02-12,0.0
2425,B41,2,2025-02-20,44.0
2425,B41,3,2025-02-26,40.0
2425,B41,4,2025-03-05,134.0
2425,B42,1,2025-02-12,22.0
2425,B42,2,2025-02-20,13.0
2425,B42,3,2025-02-26,39.0
2425,B42,4,2025-03-05,47.0
2425,B43,1,2025-02-12,0.0
2425,B43,2,2025-02-20,38.0
2425,B43,3,2025-02-26,39.0
2425,B43,4,2025-03-05,38.0
2425,B44,1,2025-02-12,12.0
2425,B44,2,2025-02-20,33.0
2425,B44,3,2025-02-26,23.0
2425,B44,4,2025-03-05,92.0
2425,B45,1,2025-02-12,31.0
2425,B45,2,2025-02-20,49.0
2425,B45,3,2025-02-26,10.0
2425,B45,4,2025-03-05,34.0
2425,B51,1,2025-02-12,0.0
2425,B51,2,2025-02-20,46.0
2425,B51,3,2025-02-26,0.0
2425,B51,4,2025-03-05,65.0
2425,B52,1,2025-02-12,89.0
2425,B52,2,2025-02-20,120.0
2425,B52,3,2025-02-26,51.0
2425,B52,4,2025-03-05,150.0
2425,B53,1,2025-02-12,28.0
2425,B53,2,2025-02-20,175.0
2425,B53,3,2025-02-26,41.0
2425,B53,4,2025-03-05,147.0
2425,B54,1,2025-02-12,0.0
