task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_training_rows,n_current_season_training_rows,n_predictions,n_model_features
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-26,8,late season,558,278,40,101
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-07,1,early season,7,0,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,7,0,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-15,2,early season,8,1,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,8,1,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,9,2,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,9,2,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,10,3,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,10,3,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,11,4,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,11,4,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-12,6,late season,12,5,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,12,5,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-20,7,late season,13,6,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,13,6,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,persistence,Persistence / no-change baseline,2025-02-26,8,late season,14,7,1,104
aggregate_next_leading,Direct aggregate next window · leading indicators,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,14,7,1,104
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-07,1,early season,7,0,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,7,0,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-15,2,early season,8,1,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,8,1,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,9,2,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,9,2,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,10,3,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,10,3,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,11,4,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,11,4,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-12,6,late season,12,5,1,116
aggregate_next_current_state,Direct aggregate next window · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,12,5,1,116
