n_predictions,mae,rmse,r2,bias,mean_observed,mae_pct_of_mean_observed,model,model_label,current_observation_date,n_current_year_training_rows
4,23.431610583905154,25.160395706446177,-0.0915310461603378,-17.02127581138107,70.6675,33.15754849669955,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-17,20
4,34.066809733997,35.19976186509011,-2.8028787900474934,34.066809733997,29.6775,114.79002521774746,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-21,24
4,3.7290568839431932,5.8546623451238355,0.8559715667638139,-3.7290568839431932,42.205,8.835580817304095,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-24,28
4,13.22673821125762,15.225433841850066,-1.8706949175996512,-0.466174336612335,46.2625,28.590625693072404,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-27,32
4,28.311755918552734,37.610869299789535,-0.3221679642099071,19.393122988883903,43.215,65.51372421277966,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-31,36
4,22.46474274173933,26.71039912148741,-2.4621336077168317,22.46474274173933,16.925,132.73112402800194,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-05,40
4,20.569326742705044,22.968559897149788,-2.7646052418130207,20.569326742705044,23.705,86.77210184646718,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-09,44
4,45.28767748998652,46.37965185715278,-20.78376558922909,45.28767748998652,15.5175,291.8490574511778,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-13,48
4,10.305561634529445,11.291373927892623,0.3266063123723746,10.305561634529445,22.775,45.249447352489334,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-17,52
4,6.49484357743486,8.006237327227032,0.5427245224597315,0.5907408882113483,16.235,40.00519604209954,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-21,56
4,20.037473836365617,25.268857793656533,0.02583414929354899,-15.611038715155122,33.8075,59.26931549616392,rolling_crop_development_ridge,Rolling crop development linear model,2023-09-24,60
2,36.16913924050634,36.389650086242035,-81.76291458744599,36.16913924050634,14.559999999999999,248.41441786062052,rolling_persistence,Rolling persistence baseline,2023-07-29,0
3,14.065358024691355,21.844487921327858,-104.40326306437497,11.918691358024688,14.4,97.67609739368996,rolling_persistence,Rolling persistence baseline,2023-08-01,2
3,13.87,15.838986710013994,-4.614166021420675,-13.87,28.27,49.062610541209764,rolling_persistence,Rolling persistence baseline,2023-08-04,5
4,29.005120689655172,31.430995739265278,-5.272838751751465,-22.07987931034483,55.25,52.497955999375876,rolling_persistence,Rolling persistence baseline,2023-08-07,8
4,29.150000000000002,37.61098177394469,-0.9616558073184451,-4.725000000000003,59.975,48.60358482701126,rolling_persistence,Rolling persistence baseline,2023-08-11,12
4,14.29,20.922651600597856,0.17931409432901957,-10.665,70.64,20.22933182332956,rolling_persistence,Rolling persistence baseline,2023-08-13,16
4,11.4075,13.73017752980638,0.674947535002107,-0.027500000000001634,70.6675,16.14249831959529,rolling_persistence,Rolling persistence baseline,2023-08-17,20
4,40.99,44.03227623005652,-4.950799336741577,40.99,29.6775,138.11810293993767,rolling_persistence,Rolling persistence baseline,2023-08-21,24
4,12.527500000000002,16.03410817601029,-0.08027455980227582,-12.527500000000002,42.205,29.682502073214078,rolling_persistence,Rolling persistence baseline,2023-08-24,28
4,10.9625,11.782053089338886,-0.7190544702127835,-4.057499999999998,46.2625,23.696298297757362,rolling_persistence,Rolling persistence baseline,2023-08-27,32
4,21.692500000000003,26.008207839064962,0.36776178689179895,3.0474999999999985,43.215,50.19669096378573,rolling_persistence,Rolling persistence baseline,2023-08-31,36
4,43.375,49.66476718962851,-10.969606595590044,26.290000000000003,16.925,256.2776957163959,rolling_persistence,Rolling persistence baseline,2023-09-05,40
4,18.69,21.580033595895998,-2.3231974273466443,-6.78,23.705,78.84412571187515,rolling_persistence,Rolling persistence baseline,2023-09-09,44
4,15.377500000000001,17.702129109234292,-2.17343051983262,8.1875,15.5175,99.09779281456422,rolling_persistence,Rolling persistence baseline,2023-09-13,48
4,10.9175,13.515612268780131,0.03517863902988527,-7.2575,22.775,47.93633369923162,rolling_persistence,Rolling persistence baseline,2023-09-17,52
4,6.8500000000000005,12.903418151792184,-0.18776503185509696,6.54,16.235,42.19279334770558,rolling_persistence,Rolling persistence baseline,2023-09-21,56
4,23.332499999999996,32.4326452051016,-0.6048203433797714,-17.572499999999998,33.8075,69.01575094283811,rolling_persistence,Rolling persistence baseline,2023-09-24,60
2,21.95766369047619,27.95608689087258,-47.84642464062613,17.303288690476194,14.559999999999999,150.80812974228152,rolling_treatment_mean,Rolling treatment mean baseline,2023-07-29,0
3,34.971893048128344,43.77926774651773,-422.35754647934397,32.918167557932264,14.4,242.86036838978018,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-01,2
3,23.102307568438004,30.937815497508137,-20.419520916216225,17.629344605475037,28.27,81.72022486182527,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-04,5
4,21.30440460526316,26.663664271842535,-3.5142697738425595,-9.046154605263155,55.25,38.56000833531794,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-07,8
4,15.632828333333332,24.883566532751644,0.14134496112010786,-13.316188333333333,59.975,26.065574544949282,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-11,12
4,24.888874125874125,29.778915061491873,-0.6624985313475615,-23.366335664335665,70.64,35.23340051794185,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-13,16
4,22.432778839115798,23.492844681939943,0.04836069007303723,-22.432778839115798,70.6675,31.74412401615424,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-17,20
4,19.42736840062112,24.513014594394523,-0.8442784008956672,19.42736840062112,29.6775,65.4616069433784,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-21,24
4,7.901876005747127,11.948313541346604,0.4001291598257577,6.212476005747124,42.205,18.722606339881832,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-24,28
4,11.664688461538459,12.518510432177326,-0.940675836982712,1.9490884615384632,46.2625,25.21413339430091,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-27,32
4,18.116178039702234,25.155975157879336,0.4085170888616749,4.943821960297768,43.215,41.92104139697381,rolling_treatment_mean,Rolling treatment mean baseline,2023-08-31,36
4,31.028663938492063,37.557100763161145,-5.8449012554493756,31.028663938492063,16.925,183.33036300438442,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-05,40
4,23.28198204955963,25.592487128994353,-3.6738728894146293,23.28198204955963,23.705,98.21549061193686,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-09,44
4,30.737543103448278,35.21705305803236,-11.559837185150457,30.737543103448278,15.5175,198.08308750409716,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-13,48
4,22.570537711213518,23.305561383460116,-1.8687625225881512,22.570537711213518,22.775,99.10225120181568,rolling_treatment_mean,Rolling treatment mean baseline,2023-09-17,52
