forecast_task,year,nitrogen_treatment,treatment_n_level,current_observation_date,target_date,forecast_horizon_days,next_fresh_matter_g,next_fruit_number,next_dry_matter_g,current_fruit_number,current_fresh_matter_g,current_dry_matter_g,previous_fruit_number,previous_fresh_matter_g,previous_dry_matter_g,change_fruit_number,change_fresh_matter_g,change_dry_matter_g,rolling_mean_2_fruit_number,rolling_mean_3_fruit_number,rolling_mean_2_fresh_matter_g,rolling_mean_3_fresh_matter_g,rolling_mean_2_dry_matter_g,rolling_mean_3_dry_matter_g,days_since_previous_observation,day_of_year,days_since_weather_start,tmax_c,tmin_c,tmean_c,rhmean_pct,solar_radiation,gdd_base_10,cumulative_gdd_base_10,cumulative_solar_radiation,tmean_7d,solar_radiation_7d,rhmean_7d,n_fruit_size_samples,mean_fruit_diameter_mm,mean_fruit_length_mm,mean_individual_fruit_fresh_weight_g,mean_tagged_fruit_diameter_mm,n_tagged_fruit_diameter_mm_observations,mean_tagged_fruit_length_mm,n_tagged_fruit_length_mm_observations,mean_tagged_fruit_fresh_matter_g,n_tagged_fruit_fresh_matter_g_observations,mean_tagged_fruit_lifespan,n_tagged_fruit_lifespan_observations
next_observation_fresh_matter,2022,150N,150.0,2022-09-13,2022-09-16,3.0,98.21,9.0,8.14,8,68.43,4.93,7.0,54.29,4.83,1.0,14.140000000000008,0.09999999999999964,6.5,6.666666666666667,49.59,44.13333333333333,4.29,4.366666666666666,4.0,256,112,36.96909090909091,18.3188679245283,24.96908806412498,55.8540571976257,6.642826961728851,14.969088064124978,1619.6950522390207,579.7682846396945,23.702181169330476,4.31502224242681,59.967015388373056,8.0,24.055,26.346249999999998,8.55375,16.41842105263158,19.0,19.102105263157895,19.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-09-16,2022-09-20,4.0,126.44,13.0,8.12,9,98.21,8.14,8.0,68.43,4.93,1.0,29.779999999999987,3.210000000000001,7.5,7.0,61.36000000000001,55.870000000000005,4.88,4.503333333333333,3.0,259,115,31.369090909090904,20.46481481481481,23.35769538424994,69.9474714881934,3.66111418200453,13.35769538424994,1662.9797942975424,594.3343823039152,23.687249592330748,5.242681136913604,56.95014218547707,9.0,27.561111111111114,30.33666666666667,10.912222222222221,12.727500000000001,20.0,14.857,20.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-09-20,2022-09-23,3.0,51.62,5.0,3.3,13,126.44,8.12,9.0,98.21,8.14,4.0,28.230000000000004,-0.02000000000000135,8.5,8.0,83.32,73.64333333333333,6.535,5.966666666666666,4.0,263,119,38.98518518518518,20.53018867924528,27.27724438809755,65.08779517902568,6.4852667201201175,17.27724438809755,1722.5911456669826,614.1352760996347,24.699441918280257,4.909570208562888,62.67229267437079,13.0,26.442307692307693,28.023846153846154,9.726153846153846,16.907647058823528,17.0,19.748823529411766,17.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-09-23,2022-09-27,4.0,25.6,6.0,3.24,5,51.62,3.3,13.0,126.44,8.12,-8.0,-74.82,-4.819999999999999,11.0,10.0,112.32499999999999,97.69333333333333,8.129999999999999,7.063333333333333,3.0,266,122,20.32962962962964,18.3090909090909,19.012343589021192,58.966593664288496,1.1468640174871636,9.012343589021192,1754.1358528978917,627.5222743667301,23.022294085764145,4.7411274375449945,58.96803935134534,5.0,27.594,31.546,10.324000000000002,13.993157894736843,19.0,17.335263157894737,19.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-09-27,2022-09-30,3.0,49.3,10.0,7.18,6,25.6,3.24,5.0,51.62,3.3,1.0,-26.019999999999996,-0.05999999999999961,9.0,9.0,89.03,92.08999999999999,5.709999999999999,6.52,4.0,270,126,24.381481481481472,17.9037037037037,19.608652356211824,45.72300055320974,2.855389745144804,9.608652356211824,1794.7663647293593,644.1395284446792,20.310745580339507,4.286321763577797,51.11870385928338,6.0,19.631666666666668,24.025000000000002,4.266666666666667,15.468333333333334,18.0,18.620555555555555,18.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-09-30,2022-10-04,4.0,58.82,9.0,7.24,10,49.3,7.18,6.0,25.6,3.24,4.0,23.699999999999996,3.9399999999999995,5.5,8.0,38.61,67.88666666666667,3.27,4.886666666666667,3.0,273,129,28.661818181818187,18.37090909090909,22.750923785296223,39.9262858003055,4.582923341976224,12.750923785296223,1829.3168320219183,652.9937041915183,20.740139874860954,3.63877568925546,45.754171895637384,10.0,18.82,24.391111111111112,4.930000000000001,12.998947368421051,19.0,16.718947368421052,19.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-10-04,2022-10-07,3.0,29.58,3.0,3.94,9,58.82,7.24,10.0,49.3,7.18,-1.0,9.520000000000003,0.0600000000000005,8.0,7.0,37.45,42.17333333333333,5.21,4.573333333333333,4.0,277,133,30.505454545454544,18.63703703703704,24.693047897625423,42.39131821358237,6.618382106377156,14.693047897625423,1886.0634430237137,679.7604879844968,23.042439756336393,5.088708505688231,42.946363850806016,9.0,21.01,28.892222222222227,6.535555555555556,15.046315789473685,19.0,19.907894736842106,19.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-10-07,2022-10-11,4.0,53.9,8.0,8.34,3,29.58,3.94,9.0,58.82,7.24,-6.0,-29.240000000000002,-3.3000000000000003,9.5,8.333333333333334,54.06,44.57333333333333,7.21,5.886666666666667,3.0,280,136,22.185454545454547,18.310909090909085,19.771975792718205,43.963634679815975,5.759132564916308,9.771975792718205,1920.958847994734,699.4091588733512,23.091716567545117,6.630779240261853,46.17914009971434,3.0,25.149999999999995,30.583333333333332,9.860000000000001,13.972,20.0,17.6215,20.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-10-11,2022-10-14,3.0,15.25,3.0,2.11,8,53.9,8.34,3.0,29.58,3.94,5.0,24.32,4.4,6.0,7.333333333333333,44.2,45.9,5.59,6.12,4.0,284,140,30.47454545454546,18.383333333333333,24.281931869971245,43.64739149769503,7.209094606464339,14.281931869971245,1971.7483996778215,730.3560342438542,22.240708093443942,7.227935179908215,41.629798244322444,8.0,21.8625,26.09625,6.7375,16.6515,20.0,20.7025,20.0,,,,
next_observation_fresh_matter,2022,150N,150.0,2022-10-14,2022-10-18,4.0,50.48,5.0,6.8,3,15.25,2.11,8.0,53.9,8.34,-5.0,-38.65,-6.23,5.5,6.666666666666667,41.739999999999995,47.43333333333334,6.14,6.506666666666668,3.0,287,143,22.15,18.288888888888884,20.039417306784,39.24542289175596,4.894038823947926,10.039417306784,2002.0303016894609,745.5569657802105,21.581636242103837,6.592543843837042,38.59874268683949,3.0,19.393333333333334,26.713333333333335,5.083333333333333,11.057,20.0,14.062631578947368,19.0,,,,
