year,date,nitrogen_treatment,sample_diameter_mm_n_records,sample_diameter_mm_n_non_missing,sample_diameter_mm_mean,sample_diameter_mm_median,sample_diameter_mm_std,sample_diameter_mm_min,sample_diameter_mm_max,sample_diameter_mm_p10,sample_diameter_mm_p90,sample_length_mm_n_records,sample_length_mm_n_non_missing,sample_length_mm_mean,sample_length_mm_median,sample_length_mm_std,sample_length_mm_min,sample_length_mm_max,sample_length_mm_p10,sample_length_mm_p90,sample_individual_fruit_fresh_weight_g_n_records,sample_individual_fruit_fresh_weight_g_n_non_missing,sample_individual_fruit_fresh_weight_g_mean,sample_individual_fruit_fresh_weight_g_median,sample_individual_fruit_fresh_weight_g_std,sample_individual_fruit_fresh_weight_g_min,sample_individual_fruit_fresh_weight_g_max,sample_individual_fruit_fresh_weight_g_p10,sample_individual_fruit_fresh_weight_g_p90,sample_condition_code_n_records,sample_condition_code_n_non_missing,sample_condition_code_mean,sample_condition_code_median,sample_condition_code_std,sample_condition_code_min,sample_condition_code_max,sample_condition_code_p10,sample_condition_code_p90,n_fruit_size_samples
2022,2022-09-09,100N,7,7,24.55,24.06,8.065339422491775,14.58,34.77,16.614,34.074,7,7,27.419999999999998,28.03,8.878030937845022,15.6,36.16,15.761999999999999,36.004,7,7,8.551428571428572,6.23,6.615525750262103,1.51,18.28,1.972,16.498,7,7,2.4285714285714284,3.0,1.5118578920369088,1.0,5.0,1.0,3.8000000000000007,7
2022,2022-09-09,150N,7,7,24.541428571428572,25.79,3.929819455443337,18.49,28.69,20.23,28.516,7,7,28.304285714285715,29.05,6.832273553127235,18.0,35.32,20.838,34.924,7,7,7.755714285714285,9.88,3.6586375293855737,3.28,11.73,3.694,11.004,7,7,1.4285714285714286,1.0,0.7867957924694432,1.0,3.0,1.0,2.4000000000000004,7
2022,2022-09-09,50N,4,4,25.259999999999998,24.869999999999997,6.146500359283053,19.74,31.56,19.889999999999997,30.942,4,4,32.0025,32.775000000000006,7.916604385719931,22.11,40.35,24.378,39.009,4,4,9.2925,9.53,5.128413497369337,3.74,14.37,4.478000000000001,13.917,4,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4
2022,2022-09-13,0N,2,2,17.025,17.025,5.055813485483815,13.45,20.6,14.165,19.885,2,2,15.81,15.81,4.044650788387054,12.95,18.67,13.522,18.098000000000003,2,2,2.43,2.43,1.4707821048680192,1.39,3.47,1.5979999999999999,3.2620000000000005,2,2,3.5,3.5,0.7071067811865476,3.0,4.0,3.1,3.9,2
2022,2022-09-13,100N,17,17,25.837058823529414,26.08,3.122174251835335,20.0,31.81,21.514,29.476000000000003,17,17,28.35470588235294,29.15,6.422763343809908,16.51,39.48,18.794,34.258,17,17,9.76529411764706,9.88,3.5767095871188985,3.59,14.81,4.974,14.278,17,17,1.8235294117647058,1.0,1.2862393885688164,1.0,4.0,1.0,4.0,17
2022,2022-09-13,150N,8,8,24.055,22.43,4.5723735630414115,19.89,32.96,20.1,29.005,8,8,26.346249999999998,24.6,7.559124925734275,15.61,35.85,18.984,34.989,8,8,8.55375,6.800000000000001,4.910545321768536,3.62,16.43,3.942,14.078,8,8,2.25,1.5,1.4880476182856899,1.0,4.0,1.0,4.0,8
2022,2022-09-13,50N,9,9,25.40777777777778,25.3,4.2923821410080025,16.87,31.01,21.918,30.818,9,9,29.887777777777778,30.53,4.411643054967667,21.06,34.57,25.428,34.050000000000004,9,9,10.46888888888889,9.93,4.104699880759996,4.95,16.51,5.366,15.654,9,9,1.5555555555555556,1.0,1.1303883305208782,1.0,4.0,1.0,3.2,9
2022,2022-09-16,100N,15,15,26.016666666666666,25.93,2.9168884269436988,21.13,30.6,22.224,29.863999999999997,15,15,28.89,29.2,4.258497387576985,22.26,34.52,23.68,34.19,15,15,9.751333333333333,9.87,2.708409830421498,5.93,14.33,6.166,12.832,15,15,2.0,1.0,1.3093073414159542,1.0,5.0,1.0,3.5999999999999996,15
2022,2022-09-16,150N,9,9,27.561111111111114,26.43,4.452674601979252,23.1,36.16,23.372,33.432,9,9,30.33666666666667,29.93,3.6688315578668917,25.32,35.35,26.52,35.062000000000005,9,9,10.912222222222221,10.96,3.456442454959209,7.06,16.99,7.332,14.806000000000001,9,9,1.3333333333333333,1.0,0.7071067811865476,1.0,3.0,1.0,2.2,9
2022,2022-09-16,50N,4,4,26.72,28.47,5.3416289650255555,19.21,30.73,21.427,30.613,4,4,29.3475,30.384999999999998,3.9162343733064113,23.94,32.68,25.476,32.389,4,4,10.4225,11.8,3.6926537431319857,4.97,13.12,6.95,12.793,4,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,4
2022,2022-09-20,100N,19,19,24.724736842105262,26.41,3.91962068519257,15.96,29.43,19.54,28.805999999999997,19,19,28.617894736842107,29.59,4.754981690521318,14.53,35.54,23.003999999999998,33.096000000000004,19,19,9.544736842105262,9.87,3.139023854677426,2.5,15.34,5.744,12.734,19,19,1.736842105263158,1.0,0.9334586382051249,1.0,4.0,1.0,3.0,19
2022,2022-09-20,150N,13,13,26.442307692307693,25.43,3.37055918665868,22.3,32.13,22.828,31.444,13,13,28.023846153846154,27.93,4.239407463434678,21.41,34.93,22.772,32.514,13,13,9.726153846153846,10.42,2.795486059291355,5.28,13.86,5.862,12.950000000000001,13,13,1.9230769230769231,2.0,1.0377490433255416,1.0,4.0,1.0,3.0,13
2022,2022-09-20,50N,4,4,23.87,23.5,1.4612323566086258,22.53,25.95,22.8,25.236,4,4,32.43,31.994999999999997,5.866725378494091,26.82,38.91,27.222,37.986,4,4,9.6875,9.434999999999999,1.854029395667717,7.7,12.18,8.189,11.388,4,4,2.25,2.0,1.2583057392117916,1.0,4.0,1.3,3.4000000000000004,4
2022,2022-09-23,0N,1,1,15.0,15.0,,15.0,15.0,15.0,15.0,1,1,18.19,18.19,,18.19,18.19,18.19,18.19,1,1,2.22,2.22,,2.22,2.22,2.22,2.22,1,1,3.0,3.0,,3.0,3.0,3.0,3.0,1
2022,2022-09-23,100N,11,11,21.534545454545455,21.73,2.9483974075296,17.89,25.89,18.17,24.97,11,11,26.628181818181815,26.1,1.874640329139529,23.65,30.54,24.97,28.24,11,11,6.274545454545454,6.23,1.6268949790097924,4.27,9.7,4.63,8.4,11,11,1.1818181818181819,1.0,0.40451991747794525,1.0,2.0,1.0,2.0,11
2022,2022-09-23,150N,5,5,27.594,25.37,4.637125187009727,25.04,35.83,25.128,32.086,5,5,31.546,30.64,3.3789539801542117,28.57,37.23,28.994,35.001999999999995,5,5,10.324000000000002,10.55,2.148227176068677,8.21,13.48,8.298,12.468,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5
2022,2022-09-23,50N,2,2,25.685000000000002,25.685000000000002,0.34648232278140845,25.44,25.93,25.489,25.881,2,2,27.4,27.4,2.8708535316173807,25.37,29.43,25.776,29.024,2,2,8.35,8.35,0.6788225099390853,7.87,8.83,7.966,8.734,2,2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2
2022,2022-09-27,100N,14,14,20.868571428571432,21.165,3.5550178126630607,14.48,27.57,16.609,25.081000000000003,14,13,26.886153846153846,27.47,4.533084929091772,19.75,35.07,20.514000000000003,31.038,14,14,6.320714285714287,5.95,3.0127203763266954,2.43,12.65,3.269,10.379000000000003,14,14,2.0,1.0,1.5191090506255,1.0,5.0,1.0,4.700000000000001,14
2022,2022-09-27,150N,6,6,19.631666666666668,19.07,2.7643329514851622,16.3,23.69,16.995,22.83,6,6,24.025000000000002,24.775,4.576163240095354,18.11,29.21,18.6,28.700000000000003,6,6,4.266666666666667,3.51,2.198014255337455,1.77,7.69,2.4,6.890000000000001,6,6,2.3333333333333335,2.0,1.505545305418162,1.0,5.0,1.0,4.0,6
2022,2022-09-27,50N,14,14,23.33142857142857,23.655,3.2003217558019594,17.84,28.28,18.717000000000002,26.848000000000003,14,14,25.93357142857143,26.83,4.3491088515002465,17.7,32.81,20.053,30.854000000000003,14,14,7.505,7.49,2.5723642223269425,3.59,11.61,4.328,11.048,14,14,1.7142857142857142,1.0,1.4373357526806552,1.0,5.0,1.0,4.100000000000003,14
2022,2022-09-30,0N,1,1,18.06,18.06,,18.06,18.06,18.06,18.06,1,1,22.1,22.1,,22.1,22.1,22.1,22.1,1,1,4.27,4.27,,4.27,4.27,4.27,4.27,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1
2022,2022-09-30,100N,16,16,19.906875,20.665,4.009852397532857,12.84,26.61,13.89,24.240000000000002,16,16,24.82875,25.14,5.216347221316209,17.52,32.4,17.945,31.625,16,16,5.6362499999999995,5.42,2.540351353651695,1.91,9.76,2.615,9.1,16,16,2.0,1.0,1.3165611772087664,1.0,5.0,1.0,3.5,16
2022,2022-09-30,150N,10,10,18.82,18.38,3.436225319219395,14.47,24.8,15.504999999999999,24.151999999999997,10,9,24.391111111111112,24.44,4.243546407323844,19.02,30.44,19.756,30.008,10,10,4.930000000000001,4.32,2.51529543217315,2.19,9.19,2.442,9.064,10,10,2.1,2.0,1.286683937707919,1.0,5.0,1.0,3.1999999999999993,10
2022,2022-09-30,50N,7,7,23.125714285714285,25.71,4.860819056986374,15.75,27.88,17.880000000000003,27.49,7,7,26.359999999999996,27.94,6.167414369085313,13.67,32.47,20.696,31.69,7,7,7.3428571428571425,8.27,3.409876411669072,1.77,11.24,3.5940000000000003,10.688,7,7,1.2857142857142858,1.0,0.7559289460184545,1.0,3.0,1.0,1.8000000000000007,7
2022,2022-10-04,100N,16,16,21.79125,22.17,4.8926909773661365,15.55,28.65,15.88,27.384999999999998,16,16,27.10875,27.125,5.986011331986154,18.46,38.47,18.825,33.535,16,16,6.667625,6.75,3.521270166194769,2.26,11.63,2.625,11.485,16,16,2.5,2.0,1.6329931618554518,1.0,5.0,1.0,5.0,16
