year,date,day_of_year,days_since_weather_start,tmax_c,tmin_c,tmean_c,rhmax_pct,rhmin_pct,rhmean_pct,solar_radiation,gdd_base_10,cumulative_gdd_base_10,cumulative_solar_radiation,tmean_7d,solar_radiation_7d,rhmean_7d
2022,2022-07-19,200,56,35.46,25.05,28.978695652173908,68.4,33.9,51.443478260869554,4.961893220690915,18.978695652173908,836.0186956521736,323.0462646414001,26.97975155279503,6.26169863517029,58.48012422360249
2022,2022-07-20,201,57,33.48,22.3,27.2795652173913,69.3,28.8,48.83043478260869,6.43249128535984,17.2795652173913,853.298260869565,329.47875592675996,27.558074534161488,6.054756620370067,56.487577639751564
2022,2022-07-21,202,58,32.47,22.87,27.316956521739133,70.2,27.2,45.5695652173913,7.661045778287748,17.316956521739133,870.6152173913041,337.1398017050477,27.85341614906832,6.1590134835225845,54.7055900621118
2022,2022-07-22,203,59,36.34,22.82,28.78782608695652,57.6,31.5,44.80434782608697,6.199004809589463,18.78782608695652,889.4030434782607,343.33880651463716,28.05652173913043,6.074839600709329,52.66645962732919
2022,2022-07-23,204,60,26.26,21.21,23.675652173913043,80.0,59.7,70.67826086956521,1.6209584652959237,13.675652173913043,903.0786956521737,344.9597649799331,27.56714285714286,5.54377574669458,54.00807453416149
2022,2022-07-24,205,61,28.33,19.58,23.484782608695657,86.4,36.3,58.44782608695652,6.696538818168228,13.484782608695657,916.5634782608694,351.6563037981013,27.064347826086955,5.840305317269077,53.71366459627329
2022,2022-07-25,206,62,29.36,18.51,23.01913043478261,65.8,29.6,48.38695652173912,6.6720899725378215,13.01913043478261,929.582608695652,358.32839377063914,26.07751552795031,5.749146049989991,52.594409937888194
2022,2022-07-26,207,63,26.35,19.63,22.2,76.6,50.6,68.33913043478263,2.164945280572459,12.2,941.782608695652,360.4933390512116,25.109130434782607,5.349582058544497,55.008074534161494
2022,2022-07-27,208,64,31.24,19.13,24.44565217391304,82.7,31.9,55.991304347826095,6.718542779235594,14.44565217391304,956.228260869565,367.21188183044717,24.70428571428571,5.3904465576696055,56.03105590062112
2022,2022-07-28,209,65,26.08,18.97,22.18478260869565,65.4,38.8,50.76086956521738,5.556000169509783,12.184782608695649,968.4130434782606,372.76788199995696,23.97111801242236,5.08972575641561,56.772670807453416
2022,2022-07-29,210,66,27.88,18.7,22.81434782608696,69.7,36.9,53.41304347826087,5.395860230630623,12.814347826086959,981.2273913043476,378.16374223058756,23.117763975155277,4.974990816564348,58.00248447204969
2022,2022-07-30,211,67,34.78,19.33,25.88,71.0,29.8,51.47391304347826,6.930025293938606,15.879999999999999,997.1073913043476,385.0937675245262,23.432670807453412,5.733428934941872,55.25900621118013
2022,2022-07-31,212,68,31.73,19.89,25.391739130434782,73.4,44.0,59.10434782608697,4.6721743999706025,15.391739130434782,1012.4991304347824,389.7659419244968,23.705093167701865,5.444234018056498,55.352795031055905
2022,2022-08-01,213,69,32.5,19.71,25.25434782608696,76.0,30.4,55.269565217391296,6.728322317487755,15.25434782608696,1027.7534782608693,396.4942642419846,24.024409937888198,5.452267210192203,56.336024844720505
2022,2022-08-02,214,70,36.68,19.83,27.59608695652174,71.8,44.3,58.36521739130435,6.053534178088547,17.59608695652174,1045.349565217391,402.54779842007315,24.795279503105593,6.0077799098373585,54.911180124223606
2022,2022-08-03,215,71,34.73,22.51,27.31217391304348,72.4,27.9,53.55217391304347,6.698983702731268,17.31217391304348,1062.6617391304346,409.2467821228044,25.204782608695655,6.004985756051027,54.56273291925466
2022,2022-08-04,216,72,32.75,19.32,25.065652173913048,66.8,31.1,50.58695652173914,6.9288028516570845,15.065652173913048,1077.7273913043477,416.1755849744615,25.616335403726712,6.201100424929213,54.53788819875776
2022,2022-08-05,217,73,36.09,20.92,27.381304347826084,70.3,33.5,53.90434782608696,6.744214067147518,17.381304347826084,1095.1086956521738,422.91979904160905,26.268757763975156,6.393722401574483,54.608074534161496
2022,2022-08-06,218,74,28.12,21.31,24.028695652173912,90.0,64.4,78.61304347826088,0.980398709779284,14.028695652173912,1109.1373913043476,423.90019775138836,26.004285714285718,5.54377574669458,58.48509316770186
2022,2022-08-07,219,75,26.696296296296296,19.89818181818181,21.86781815972136,85.59272727272727,59.65925925925926,75.22633618106138,3.557942696648353,11.86781815972136,1121.005209464069,427.4581404480367,25.500868432755226,5.384599789077116,60.788234361269645
2022,2022-08-08,220,76,27.43636363636364,18.3377358490566,21.92835011310811,82.01636363636361,39.91636363636364,62.26521266810849,5.513617898250544,11.92835011310811,1132.933559577177,432.9717583462873,25.025725902329675,5.211070586328942,61.78761256851495
2022,2022-08-09,221,77,31.459259259259262,19.3,24.82053615178308,75.93636363636364,35.06226415094339,56.34241957447045,4.582218052902368,14.820536151783081,1147.75409572896,437.55397639918965,24.62921864450987,5.000882568445202,61.49864145182439
2022,2022-08-10,222,78,32.03636363636364,20.15925925925925,25.57674000355468,79.49090909090908,35.50185185185185,57.54562499962627,4.289470573511328,15.57674000355468,1163.3308357325147,441.843446972701,24.3812995145829,4.656666407128069,62.06913446419337
2022,2022-08-11,223,79,30.81636363636364,20.12962962962964,24.80101872858605,66.44259259259259,32.68000000000001,49.88093308215343,4.67147910573032,14.801018728586051,1178.1318544611008,446.5149260784313,24.343494736679038,4.334191586281388,61.96827397282398
2022,2022-08-12,224,80,24.045283018867924,19.31111111111111,21.371025020036026,80.98181818181818,51.80181818181817,65.67866296777969,2.7323161799344318,11.371025020036026,1189.502879481137,449.24724225836576,23.4848834041376,3.761063316679518,63.6503189930658
2022,2022-08-13,225,81,23.37272727272728,19.879245283018868,20.871273412274235,78.85555555555555,62.17999999999999,70.30558593868683,3.285756106668824,10.871273412274235,1200.374152893411,452.5329983650346,23.033823084151937,4.090400087663738,62.46353934455522
2022,2022-08-14,226,82,26.072727272727263,18.711320754716983,21.34487373046848,76.36603773584906,52.51999999999999,68.5515856127587,4.837506308857954,11.344873730468478,1211.7190266238795,457.3705046738925,22.95911673711581,4.273194889407967,61.51000354908341
2022,2022-08-15,227,83,26.16363636363636,18.74909090909092,22.224379424543493,79.10363636363635,53.07272727272727,68.34626455973464,3.6243597521793687,12.224379424543493,1223.943406048423,460.9948644260719,23.001406638749437,4.003300868540657,62.37872524788715
2022,2022-08-16,228,84,29.721818181818183,20.08333333333333,23.65550788166046,84.0777777777778,41.31454545454546,64.77202451090065,4.700710084021808,13.655507881660458,1237.5989139300834,465.6955745100937,22.834974028731917,4.02022830155772,63.58295452452003
2022,2022-08-17,229,85,30.37818181818182,20.07818181818182,23.92646638658944,86.80925925925928,43.67222222222221,62.73223625370467,3.613558110538514,13.92646638658944,1251.525380316673,469.3091326206322,22.599220654879737,3.9236693782758887,64.32389898938837
2022,2022-08-18,230,86,29.047272727272727,20.176363636363632,23.12461569482078,87.86111111111113,46.37636363636364,72.10758343622167,4.714841769888843,13.124615694820779,1264.6499960114936,474.02397439052106,22.35973450719899,3.929864044584249,67.49913475425527
2022,2022-08-19,231,87,25.83333333333333,19.752727272727267,21.613170037813187,81.39636363636365,59.24074074074074,74.71119466472216,3.7079574405840794,11.613170037813187,1276.2631660493068,477.73193183110516,22.394326652595726,4.0692413675341985,68.78949642524705
2022,2022-08-20,232,88,25.15925925925926,18.92727272727273,21.49571507230655,88.81481481481481,63.27592592592592,77.74154985627504,2.0760673051647944,11.495715072306549,1287.7588811216133,479.8079991362699,22.483532604028913,3.8964286816050513,69.8517769849025
2022,2022-08-21,233,89,28.11111111111111,18.89433962264151,23.022349914236703,81.46545454545455,42.23148148148148,63.55466234673782,2.211719067375261,13.022349914236703,1300.78123103585,482.0197182036452,22.723172058852946,3.521316218536096,69.13793080404238
2022,2022-08-22,234,90,29.92962962962964,18.8,23.96182260118273,78.46415094339623,35.36481481481481,56.922250450913296,4.218211517964024,13.961822601182732,1314.7430536370327,486.23792972160925,22.971378226944264,3.6061521850767604,67.50592878849646
2022,2022-08-23,235,91,31.64999999999999,19.133333333333333,24.83940496018429,75.32777777777778,36.33636363636363,56.871924080841225,4.018608282146052,14.83940496018429,1329.582458597217,490.2565380037553,23.140506381019094,3.508709070523081,66.3773430127737
2022,2022-08-24,236,92,31.85925925925926,21.37777777777778,24.718787064954007,85.62777777777777,46.614814814814814,65.89292805195593,4.45278464207593,14.718787064954007,1344.3012456621711,494.7093226458312,23.253695049356896,3.628598575028426,66.82887041252387
2022,2022-08-25,237,93,28.183018867924527,19.827272727272728,22.555445154304877,87.95471698113207,47.91132075471698,69.86829183273811,4.658348920419588,12.555445154304877,1356.856690816476,499.3676715662508,23.172384972140332,3.6205281679613894,66.50897161202623
2022,2022-08-26,238,94,29.844444444444434,19.026415094339622,23.74293184381251,73.27358490566037,36.08888888888889,56.57962808610155,3.547179727796498,13.74293184381251,1370.5996226602886,502.9148512940473,23.476636658711666,3.59755992327745,63.91874781508043
2022,2022-08-27,239,95,25.87090909090909,20.043396226415098,22.57422709457164,91.62222222222223,65.97636363636363,79.49094381054186,2.2203773081033686,12.57422709457164,1383.1738497548602,505.1352286021507,23.630709804749536,3.61817563798296,64.16866123711854
2022,2022-08-28,240,96,27.45,20.33333333333333,23.19325472388639,92.34363636363636,71.1962962962963,84.08934148706093,2.0566302000366394,13.19325472388639,1396.3671044787466,507.1918588021873,23.655124777556633,3.5960200855060136,67.10218682859328
2022,2022-08-29,241,97,28.609090909090902,20.04339622641509,23.79685987576061,88.79629629629632,36.50727272727273,61.758734818792256,4.1637167501792325,13.79685987576061,1410.1639643545072,511.35557555236653,23.631558673924904,3.5882351186796155,67.79311316686169
2022,2022-08-30,242,98,29.07818181818181,18.98703703703704,23.48486997400861,68.21818181818183,34.485454545454544,51.38737528415133,4.527398603451437,13.48486997400861,1423.648834328516,515.8829741558179,23.438053675899805,3.6609194502946707,67.009606195906
2022,2022-08-31,243,99,34.27407407407407,19.248148148148143,26.265429189350435,76.42452830188678,30.0,53.16994238253467,4.592461327618627,16.265429189350435,1439.9142635178664,520.4754354834365,23.65900255081358,3.680873262515056,65.1920368145601
2022,2022-09-01,244,100,34.56363636363637,20.505454545454537,27.219831951538268,84.04727272727276,36.39090909090909,60.62722244000342,4.517439554497448,17.219831951538268,1457.1340954694047,524.9928750379339,24.32534352184692,3.6607433530976072,63.87188404416943
2022,2022-09-02,245,101,33.56545454545455,22.22181818181817,27.010519640282222,72.5037037037037,45.11090909090908,56.67716929858197,3.710969867618594,17.010519640282222,1474.1446151096868,528.7038449055525,24.79214177848545,3.6841419445007633,63.88581850309521
2022,2022-09-03,246,102,26.672727272727265,18.86666666666666,21.94352601762774,65.40925925925927,38.39636363636363,52.66049565935538,4.658306087679176,11.94352601762774,1486.0881411273147,533.3621509932317,24.702041624636326,4.032417484440165,60.052897338639994
2022,2022-09-04,247,103,26.690740740740736,18.45185185185185,21.568057302585604,63.09814814814815,40.674545454545445,52.41624787663344,4.736946757059708,11.568057302585604,1497.6561984299003,538.0990977502914,24.4698705644505,4.415319849729174,55.52816968000749
2022,2022-09-05,248,104,28.21851851851852,18.405660377358487,22.01157674640857,73.21698113207547,42.23333333333334,59.68620824045762,5.77090396407838,12.011576746408569,1509.6677751763089,543.8700017143698,24.214830117400204,4.6449180231433385,55.23209445453112
2022,2022-09-06,249,105,29.892592592592592,19.401818181818182,24.11200887739854,74.67999999999999,47.89629629629629,63.22805511657851,5.693127228337097,14.11200887739854,1523.7797840537073,549.5631289427068,24.304421389313056,4.811450683841289,56.92362014487786
2022,2022-09-07,250,106,33.25454545454545,20.973076923076924,26.247283454855232,85.18,41.04074074074074,66.29078418118205,3.523727760751754,16.247283454855232,1540.0270675085626,553.0868567034586,24.301829141528025,4.6587744600031655,58.7980261161132
